 ,Area
1,0.0001531
2,5.102E-05
3,0.0003061
4,0.0002041
5,0.001
6,0.0008673
7,0.001
8,0.004
9,0.0006633
10,0.001
11,5.102E-05
12,0.0004592
13,0.0002551
14,0.001
15,0.0002551
16,0.000102
17,0.0003571
18,0.0003571
19,0.02
20,0.0009184
21,0.0006633
22,0.0003061
23,0.0003571
24,0.0005612
25,0.0003061
26,0.025
27,5.102E-05
28,0.0001531
29,0.0005612
30,0.002
31,0.0004082
32,0.0005102
33,0.002
34,0.0005612
35,0.003
36,0.0009184
37,0.008
38,0.005
39,0.0006122
40,0.001
41,0.074
42,0.0002041
43,0.0002551
44,0.153
45,0.0008163
46,0.062
47,0.0002041
48,5.102E-05
49,0.0009184
50,0.000102
51,0.0008163
52,0.0004082
53,0.073
54,0.000102
55,0.079
56,0.0001531
57,0.0007653
58,0.001
59,0.015
60,0.0005612
61,0.0001531
62,0.0003571
63,0.0006122
64,0.0007143
65,0.001
66,5.102E-05
67,5.102E-05
68,0.0009694
69,0.0004592
70,0.0002551
71,5.102E-05
72,0.031
73,0.124
74,0.0008163
75,0.000102
76,0.0008673
77,0.003
78,0.000102
79,0.023
80,0.0003061
81,0.000102
82,5.102E-05
83,5.102E-05
84,0.035
85,0.000102
86,0.0008163
87,0.018
88,0.0007143
89,0.0001531
90,0.000102
91,5.102E-05
92,0.0002551
93,0.0001531
94,0.024
95,5.102E-05
96,0.0003571
97,0.084
98,0.0005612
99,0.0006122
100,0.0009184
101,0.077
102,0.043
103,0.0002551
104,0.000102
105,5.102E-05
106,0.0009184
107,0.0008673
108,0.192
109,0.002
110,0.0002041
111,0.0002551
112,0.123
113,0.0002551
114,0.0003061
115,0.0006122
116,0.000102
117,0.0009694
118,0.0001531
119,0.0003061
120,0.0003571
121,0.000102
122,0.005
123,0.0007653
124,0.003
125,0.002
126,0.0001531
127,0.0004592
128,0.0002551
129,0.000102
130,0.000102
131,0.136
132,0.0004592
133,0.0009694
134,0.165
135,0.003
136,0.071
137,0.003
138,0.0003571
139,0.0006122
140,0.023
141,0.0007143
142,0.002
143,0.062
144,0.001
145,0.056
146,0.0002041
147,0.0007653
148,0.0001531
149,0.0004592
150,5.102E-05
151,0.168
152,0.0006122
153,0.0003061
154,0.0003061
155,0.0002551
156,0.0004082
157,0.0002041
158,0.0007653
159,0.001
160,0.0005612
161,0.0002041
162,0.046
163,0.0004082
164,0.0005102
165,0.052
166,0.0002551
167,0.0001531
168,0.000102
169,0.0007143
170,0.053
171,0.0003061
172,0.112
173,0.02
174,0.0005612
175,0.0001531
176,0.001
177,0.0003571
178,0.003
179,0.0001531
180,0.001
181,0.0002041
182,0.0002041
183,0.029
184,0.069
185,0.000102
186,0.001
187,0.094
188,0.0008673
189,0.0002041
190,0.0007653
191,0.0006122
192,5.102E-05
193,0.0008673
194,0.0002041
195,0.0003061
196,0.0006122
197,0.001
198,0.001
199,0.003
200,0.001
201,0.002
202,0.000102
203,0.027
204,0.0005102
205,0.0006122
206,0.0004592
207,5.102E-05
208,0.000102
209,0.0004082
210,0.0002041
211,0.08
212,0.0002041
213,0.08
214,0.104
215,0.003
216,0.002
217,0.0005612
218,0.006
219,0.0002551
220,0.0007653
221,0.001
222,0.0003061
223,5.102E-05
224,0.0001531
225,0.0008673
226,5.102E-05
227,5.102E-05
228,5.102E-05
229,5.102E-05
230,5.102E-05
231,0.0006122
232,5.102E-05
233,0.0007653
234,0.002
235,0.027
236,0.0004592
237,0.0002551
238,5.102E-05
239,0.074
240,0.094
241,0.0008673
242,0.0002551
243,0.004
244,0.117
245,5.102E-05
246,0.003
247,0.0009184
248,0.0008673
249,0.0001531
250,5.102E-05
251,0.091
252,0.0004082
253,0.0003571
254,0.0003061
255,0.118
256,0.083
257,0.002
258,0.0006122
259,0.0002551
260,0.007
261,0.000102
262,0.0001531
263,0.0004592
264,0.0008163
265,0.0002551
266,0.066
267,0.000102
268,0.0005612
269,0.001
270,0.0009694
271,0.002
272,0.023
273,0.002
274,0.006
275,0.0004592
276,0.0001531
277,0.001
278,0.000102
279,0.0006633
280,0.0003061
281,0.0007143
282,0.001
283,0.0005612
284,0.0003061
285,0.0002041
286,0.001
287,5.102E-05
288,0.0002551
289,0.075
290,0.002
291,5.102E-05
292,0.0006122
293,0.0003061
294,0.0001531
295,0.0002551
296,0.0003571
297,0.0004082
298,0.0005102
299,0.0005612
300,0.0001531
301,0.0002041
302,0.0004592
303,0.0005612
304,0.000102
305,0.001
306,0.0004082
307,0.001
308,0.001
309,0.0002041
310,0.0004592
311,0.0007143
312,0.000102
313,0.059
314,5.102E-05
315,0.0002551
316,0.0005102
317,0.12
318,0.003
319,0.001
320,0.0004082
321,0.0006122
322,0.0002041
323,0.0006633
324,0.012
325,0.002
326,0.0002551
327,0.0003571
328,5.102E-05
329,0.0003061
330,0.0002041
331,0.0007143
332,0.0005102
333,0.002
334,0.0004082
335,0.0002551
336,0.0002041
337,0.002
338,0.0002551
339,0.0001531
340,0.001
341,0.000102
342,0.0001531
343,0.001
344,0.001
345,0.0009694
346,0.0006633
347,0.0004082
348,0.001
349,0.041
350,0.0002041
351,0.139
352,0.0006122
353,0.0003061
354,0.0002551
355,0.0009184
356,0.086
357,0.005
358,0.008
359,0.0006122
360,0.001
361,0.000102
362,0.0001531
363,0.0005612
364,0.0008673
365,0.089
366,0.0002551
367,5.102E-05
368,0.0007653
369,0.049
370,0.063
371,0.0005102
372,0.0004082
373,0.001
374,0.0006122
375,0.0007143
376,0.0007143
377,0.0002551
378,0.0007143
379,0.049
380,0.001
381,0.005
382,5.102E-05
383,0.031
384,0.000102
385,0.0004592
386,0.0001531
387,0.017
388,0.0008163
389,0.07
390,0.001
391,0.0007143
392,5.102E-05
393,0.0002551
394,0.0005612
395,0.003
396,0.004
397,0.0002551
398,0.003
399,5.102E-05
400,0.001
401,0.0002551
402,0.0003571
403,0.0001531
404,0.000102
405,0.0009184
406,0.0007143
407,0.0004592
408,0.0007143
409,0.275
410,0.042
411,5.102E-05
412,0.022
413,0.0002041
414,0.0001531
415,0.001
416,5.102E-05
417,0.0003061
418,0.000102
419,0.287
420,0.0007143
421,0.0003571
422,0.0004082
423,5.102E-05
424,0.0001531
425,0.0002551
426,5.102E-05
427,0.0005102
428,0.002
429,0.0002041
430,5.102E-05
431,0.0005102
432,0.003
433,0.0003061
434,0.0001531
435,5.102E-05
436,0.009
437,0.005
438,0.0007653
439,0.001
440,0.002
441,0.0002551
442,0.151
443,0.005
444,0.001
445,0.039
446,0.0001531
447,0.0002041
448,0.001
449,0.001
450,0.0003061
451,5.102E-05
452,0.0002551
453,0.0002041
454,0.159
455,0.001
456,5.102E-05
457,0.0003061
458,0.0004592
459,0.028
460,0.0003061
461,0.000102
462,0.002
463,0.0005612
464,0.064
465,0.03
466,0.0004082
467,0.0006122
468,0.0001531
469,0.032
470,0.0002041
471,5.102E-05
472,0.0006633
473,0.001
474,0.0002551
475,0.0006122
476,0.0005102
477,0.0003571
478,0.0008673
479,0.002
480,5.102E-05
481,0.0008163
482,0.019
483,0.002
484,0.0004592
485,0.0003061
486,0.0009184
487,0.003
488,0.000102
489,5.102E-05
490,0.126
491,0.0008163
492,0.001
493,0.0007143
494,0.0001531
495,0.203
496,0.0002551
497,0.0001531
498,0.102
499,0.113
500,0.0002041
501,0.0003061
502,0.0009184
503,0.000102
504,0.067
505,0.0003061
506,0.0003571
507,0.000102
508,0.000102
509,0.0002041
510,0.0001531
511,0.003
512,5.102E-05
513,0.0005612
514,0.082
515,0.0002041
516,0.0004592
517,0.002
518,0.0009184
519,0.067
520,0.001
521,0.002
522,0.0003571
523,0.001
524,0.0006122
525,0.0001531
526,0.08
527,0.0005102
528,0.0001531
529,0.0003061
530,0.03
531,0.0004082
532,5.102E-05
533,0.0002551
534,0.0004082
535,0.000102
536,5.102E-05
537,0.0002041
538,0.0004592
539,5.102E-05
540,0.0002041
541,0.0003571
542,0.0002551
543,0.0002551
544,0.014
545,0.002
546,0.0002551
547,0.001
548,0.023
549,0.000102
550,0.0001531
551,0.0009184
552,0.0009694
553,0.004
554,0.0007653
555,0.0003571
556,0.031
557,0.0002041
558,0.0005102
559,0.0005102
560,0.049
561,5.102E-05
562,0.0004082
563,5.102E-05
564,0.015
565,0.0005612
566,0.0001531
567,0.000102
568,0.052
569,5.102E-05
570,0.026
571,0.0004082
572,0.023
573,0.027
574,5.102E-05
575,0.0004082
576,0.0006122
577,0.0001531
578,0.0002041
579,0.000102
580,0.000102
581,0.002
582,0.0009694
583,0.126
584,0.0002041
585,0.0005612
586,0.0004592
587,0.0002551
588,5.102E-05
589,0.095
590,0.0002551
591,0.0003061
592,0.003
593,0.0004592
594,0.0006122
595,0.003
596,5.102E-05
597,0.000102
598,0.0006633
599,0.011
600,0.000102
601,0.000102
602,0.0006122
603,0.037
604,0.0003571
605,0.034
606,0.013
607,0.108
608,0.0004592
609,5.102E-05
610,0.0004592
611,0.0002551
612,0.004
613,0.035
614,0.005
615,0.0004082
616,0.0003061
617,0.0002041
618,0.000102
619,0.0003061
620,0.000102
621,5.102E-05
